,state,abbrev,code,st
0,Alabama,Ala.,AL,01
1,Alaska,Alaska,AK,02
2,Arizona,Ariz.,AZ,04
3,Arkansas,Ark.,AR,05
4,California,Calif.,CA,06
5,Colorado,Colo.,CO,08
6,Connecticut,Conn.,CT,09
7,Delaware,Del.,DE,10
8,District of Columbia,D.C.,DC,11
9,Florida,Fla.,FL,12
10,Georgia,Ga.,GA,13
11,Hawaii,Hawaii,HI,15
12,Idaho,Idaho,ID,16
13,Illinois,Ill.,IL,17
14,Indiana,Ind.,IN,18
15,Iowa,Iowa,IA,19
16,Kansas,Kans.,KS,20
17,Kentucky,Ky.,KY,21
18,Louisiana,La.,LA,22
19,Maine,Maine,ME,23
20,Maryland,Md.,MD,24
21,Massachusetts,Mass.,MA,25
22,Michigan,Mich.,MI,26
23,Minnesota,Minn.,MN,27
24,Mississippi,Miss.,MS,28
25,Missouri,Mo.,MO,29
26,Montana,Mont.,MT,30
27,Nebraska,Nebr.,NE,31
28,Nevada,Nev.,NV,32
29,New Hampshire,N.H.,NH,33
30,New Jersey,N.J.,NJ,34
31,New Mexico,N.M.,NM,35
32,New York,N.Y.,NY,36
33,North Carolina,N.C.,NC,37
34,North Dakota,N.D.,ND,38
35,Ohio,Ohio,OH,39
36,Oklahoma,Okla.,OK,40
37,Oregon,Ore.,OR,41
38,Pennsylvania,Pa.,PA,42
39,Rhode Island,R.I.,RI,44
40,South Carolina,S.C.,SC,45
41,South Dakota,S.D.,SD,46
42,Tennessee,Tenn.,TN,47
43,Texas,Tex.,TX,48
44,Utah,Utah,UT,49
45,Vermont,Vt.,VT,50
46,Virginia,Va.,VA,51
47,Washington,Wash.,WA,53
48,West Virginia,W.Va.,WV,54
49,Wisconsin,Wis.,WI,55
50,Wyoming,Wyo.,WY,56
